TIT,TAT,AH,AFDP,GTEP,AT,AP,TEY,CDP,CO,Classification
1093.2,550.05,71.853,4.2824,26.315,27.97,1.0096,133.73,12.17,1.1396,2
1092.4,549.9,71.149,4.2407,26.103,28.864,1.0097,133.22,12.177,1.0085,2
1092.3,549.96,66.856,4.2513,26.047,29.754,1.01,132.87,12.177,0.66924,1
1092.9,549.82,64.773,4.2614,26.088,30.845,1.0102,132.87,12.2,0.6443,1
1094.1,550.18,55.125,4.3491,26.39,31.919,1.0101,132.86,12.255,0.80777,1
1076.2,549.99,49.718,3.8393,23.387,31.363,1.0096,120.65,11.384,2.5152,1
1060.3,549.9,52.379,3.4013,20.595,30.803,1.0091,109.82,10.731,3.1163,1
1092.4,550.17,74.224,4.1234,26.092,27.302,1.0104,133.83,12.208,1.0514,1
1092,550.24,81.633,4.1722,26.057,26.835,1.0104,133.7,12.23,1.1938,1
1091.7,550.09,84.425,4.2327,25.989,26.272,1.01,133.71,12.157,1.1334,1
1090.4,550.42,86.108,4.2147,25.734,25.611,1.0099,133.11,12.082,0.57155,1
1090.7,550.37,88.48,4.33,25.764,24.586,1.0097,133.97,12.079,0.65829,1
1091.8,550.42,91.368,4.3839,25.829,23.671,1.0095,134.71,12.03,1.0912,1
1091.6,549.97,93.259,4.4421,25.833,23.194,1.0096,134.7,11.976,1.418,1
1058.4,550.2,93.666,3.6524,20.286,23.074,1.0098,110.89,10.55,4.4626,1
1088.5,550.33,93.975,4.3376,25.511,23.675,1.01,132.57,11.992,2.0755,1
1091.2,549.88,89.386,4.2697,25.929,25.311,1.0102,133.25,12.117,1.5395,1
1092.5,550.34,83.333,4.2548,26.08,27.38,1.0103,133.77,12.178,0.92905,1
1092.6,550.32,78.398,4.2779,26.178,28.54,1.0105,133.8,12.207,1.3204,2
1093.7,550.17,62.948,4.2771,26.405,30.293,1.0106,133.81,12.237,1.2193,2
1067,549.88,63.9,3.5503,21.83,26.545,1.0072,115.93,11.001,3.0429,2
1059.4,549.98,68.019,3.3381,20.448,25.861,1.0074,110.79,10.515,4.1128,2
1079.4,550.16,74.263,3.8417,23.904,25.371,1.0077,125.25,11.527,2.411,2
1094.8,550.17,50.837,4.3799,26.588,32.651,1.0091,132.83,12.305,1.0066,1
1094,549.91,59.039,4.3585,26.455,31.782,1.0089,132.85,12.294,0.76959,1
1093.9,550.07,59.891,4.3244,26.445,31.629,1.0089,132.87,12.258,0.59037,2
1094.1,550.05,63.006,4.3519,26.473,31.63,1.0088,132.85,12.268,0.86742,2
1095.1,550.02,64.653,4.3572,26.62,31.584,1.0087,133.8,12.308,0.93521,1
1094.5,550.02,68.906,4.3259,26.516,30.801,1.0087,133.84,12.295,0.7425,1
1094,549.94,72.696,4.2839,26.375,29.891,1.0087,133.82,12.266,0.93848,1
1093.1,549.91,77.661,4.2402,26.223,28.85,1.0087,133.81,12.274,1.748,1
1092.6,549.85,82.817,4.2051,26.115,27.911,1.009,133.81,12.299,1.3949,1
1092.3,549.9,85.397,4.2469,26.073,27.381,1.0091,133.81,12.324,1.3557,1
1092.3,550.11,85.753,4.2682,26.142,27.168,1.009,133.78,12.349,1.9311,1
1093,550.05,85.773,4.2872,26.262,26.988,1.0089,134.35,12.28,1.3648,1
1093.1,550.2,86.382,4.3218,26.277,26.539,1.0088,134.73,12.241,1.6474,1
1093.5,550.03,88.543,4.3409,26.346,25.948,1.0087,135.35,12.266,1.3241,1
1056.4,550.02,89.843,3.4544,19.936,25.501,1.0086,108.66,10.496,4.7519,1
1070.5,550.14,91.378,3.7927,22.384,25.458,1.0085,118.9,11.139,3.5716,1
1076.4,550.07,91.666,3.9346,23.403,25.351,1.0087,122.97,11.449,3.1388,1
1060.8,550.08,91.651,3.5566,20.677,25.155,1.0092,112.01,10.676,4.2587,2
1061.1,549.9,92.331,3.5964,20.75,25.443,1.0096,111.82,10.723,4.6237,2
1079.1,550.01,88.678,3.9943,23.881,26.509,1.0099,124.26,11.596,3.0424,2
1092.2,550,85.462,4.2843,26.194,27.225,1.0101,133.4,12.173,1.3008,2
1093.2,550.01,79.253,4.3026,26.395,28.745,1.0103,133.83,12.302,1.5573,2
1094,550,67.394,4.3272,26.526,30.933,1.0104,133.84,12.381,1.4909,2
1094.9,549.92,61.935,4.3494,26.683,31.91,1.0105,133.83,12.46,0.73687,2
1096.5,549.91,58.694,4.3909,26.885,32.834,1.0103,134.23,12.518,0.87635,2
1096.3,550.07,55.118,4.4119,26.829,33.805,1.0101,133.86,12.48,1.5082,2
1095.6,549.85,59.142,4.3787,26.694,33.266,1.01,133.85,12.387,1.4365,2
1095.7,550.01,62.529,4.3663,26.668,31.87,1.0098,133.83,12.354,1.1386,2
1096.9,549.84,65.562,4.3856,26.919,31.049,1.01,134.95,12.482,0.59007,2
1094.5,549.91,62.339,4.3206,26.517,30.529,1.0104,133.82,12.428,0.91124,2
1093.4,549.76,68.901,4.2469,26.354,29.366,1.0105,133.82,12.308,1.4624,2
1092.8,550.05,76.379,4.226,26.201,28.313,1.011,133.8,12.224,1.7862,2
1092.3,549.99,82.101,4.2164,26.114,27.441,1.0111,133.81,12.19,1.7386,2
1091.8,550.17,85.876,4.2614,26.067,26.838,1.011,133.81,12.176,1.9084,2
1092.2,550.32,86.525,4.2608,26.035,26.353,1.011,133.82,12.263,1.8015,1
1092.7,550.08,90.432,4.2939,26.198,26.195,1.011,134.31,12.238,1.9455,1
1091.9,550.17,89.949,4.2953,25.988,25.974,1.0107,133.76,12.122,1.8705,1
1080,550.3,90.152,4.0267,23.968,25.599,1.0103,125.47,11.528,2.9871,2
1058.4,549.96,92.079,3.5548,20.209,24.771,1.0102,110.15,10.563,6.0009,2
1057.8,550.03,93.865,3.5507,20.115,24.56,1.0103,109.81,10.537,5.0499,2
1059.6,549.92,94.611,3.7177,20.456,24.246,1.0105,111.35,10.604,4.7173,2
1065.2,549.92,96.811,3.8094,21.469,24.527,1.0108,115.04,11.003,4.1615,2
1092.4,550.15,94.987,4.4362,26.127,26.001,1.0108,133.77,12.182,1.7312,1
1093.1,549.79,87.309,4.3364,26.333,27.401,1.0111,133.78,12.239,1.3522,1
1094,549.7,78.815,4.3248,26.52,29.078,1.011,133.8,12.296,1.5619,1
1095.4,550.12,69.252,4.3461,26.623,30.907,1.0109,133.8,12.353,1.5362,1
1096.2,550.3,60.507,4.3674,26.808,32.331,1.0108,133.8,12.409,1.2899,1
1096.9,549.88,57.062,4.416,27.002,33.506,1.0096,134.06,12.412,0.85392,1
1096.5,550.37,54.304,4.4146,26.945,33.059,1.0091,133.81,12.278,0.96438,1
1065.4,549.94,57.431,3.6202,21.475,32.53,1.0088,112.43,10.926,2.7957,1
1062.6,549.91,56.029,3.5505,21.03,31.857,1.0087,110.82,10.784,3.6697,1
1062.4,550.03,63.01,3.524,20.982,31.111,1.0087,110.84,10.797,3.6828,1
1069.3,550.44,67.352,3.641,22.156,30.089,1.0089,116.12,11.161,3.3161,1
1093.2,550.32,74.208,4.2298,26.367,28.78,1.0089,133.81,12.262,0.82077,1
1092.4,550.33,79.2,4.2191,26.223,27.706,1.0087,133.78,12.296,0.85726,1
1092.7,550.34,80.587,4.1922,26.232,26.837,1.0084,134.42,12.33,1.3373,1
1092.7,550.17,80.457,4.1859,26.253,26.304,1.0082,134.55,12.333,1.5096,1
1085.9,550.32,78.639,3.9921,25.069,25.773,1.0078,129.84,11.918,2.0724,1
1058.7,550.02,80.069,3.3513,20.226,24.255,1.0076,110.95,10.655,4.6592,1
1058.7,550.05,87.677,3.4543,20.185,23.314,1.0072,111.03,10.604,4.44,1
1058.2,550.05,89.899,3.4672,20.18,22.935,1.0071,110.8,10.551,4.3902,1
1057.8,549.71,90.449,3.4835,20.148,22.54,1.0072,110.81,10.485,4.913,1
1057.6,549.93,90.795,3.4818,20.117,22.364,1.0075,110.63,10.526,4.1793,1
1068.9,550.09,91.263,3.7499,22.107,22.754,1.008,118.47,11.109,3.0149,1
1091.9,550.07,92.976,4.3052,26.186,24.925,1.0083,134,12.099,0.76274,1
1093.5,550.15,91.558,4.3789,26.399,26.79,1.0083,134.55,12.178,0.79599,1
1095.1,550.13,87.609,4.4042,26.626,28.09,1.0081,135.21,12.342,0.59597,1
1094.8,549.86,73.444,4.3531,26.616,30.281,1.0081,134.3,12.384,1.3411,2
1095,549.68,65.123,4.3848,26.618,31.816,1.0079,133.86,12.427,0.75515,1
1095.5,549.5,60.684,4.4207,26.759,32.529,1.0076,133.86,12.471,0.50833,1
1099.2,541.67,57.674,4.8348,30.055,32.853,1.0072,144.64,13.024,1.0343,1
1095.6,549.85,55.609,4.4302,26.942,33.645,1.0068,134.23,12.239,0.6549,1
1095.9,549.9,54.312,4.4153,26.976,33.903,1.0065,133.88,12.318,0.9499,1
1095.6,550.09,56.597,4.37,26.837,33.479,1.0062,133.88,12.334,0.98741,1
1095.1,549.92,59.374,4.3381,26.806,32.238,1.0062,133.87,12.302,1.5478,1
1093.9,549.96,61.35,4.2332,26.507,29.743,1.0074,133.87,12.35,1.4663,1
1093.6,550.13,68.477,4.1837,26.371,28.887,1.0078,133.85,12.368,1.719,1
1093.1,550.11,72.405,4.1973,26.297,28.336,1.0086,134.01,12.367,1.5826,1
1093.3,550.04,79.972,4.2156,26.223,27.639,1.0092,134.44,12.288,1.0507,1
1092,549.84,81.546,4.1728,25.975,27.237,1.0098,133.46,12.189,1.6822,1
1071.4,549.95,83.957,3.672,22.423,27.301,1.0103,118.51,11.207,3.1882,1
1060.5,550,83.416,3.4152,20.506,27.418,1.0108,110.7,10.658,4.9552,1
1060.3,550.15,81.234,3.3952,20.484,27.146,1.0115,110.66,10.628,4.8522,1
1061.8,550.08,82.737,3.423,20.67,26.783,1.0119,111.79,10.721,4.4231,1
1061.2,550,87.39,3.4596,20.602,26.434,1.0125,111.38,10.62,3.9359,1
1060.3,549.95,83.883,3.4036,20.423,26.28,1.013,111.04,10.557,4.2915,1
1089.1,549.87,81.237,4.0809,25.344,26.759,1.0132,131.21,12.046,1.6868,1
1093.3,550.16,77.877,4.2025,26.159,27.662,1.0134,134.01,12.211,1.2575,1
1095.2,549.93,74.613,4.2422,26.415,28.1,1.0136,134.88,12.254,0.79735,1
1094.8,550.12,71.789,4.2476,26.458,28.691,1.0137,134.87,12.274,1.1509,1
1094.4,549.9,71.125,4.2492,26.438,28.541,1.0139,134.88,12.294,0.93164,2
1095.3,549.89,69.421,4.2682,26.495,28.707,1.0136,134.87,12.315,0.84785,2
1095.3,550.24,66.235,4.2832,26.48,29.103,1.0135,134.89,12.329,1.1773,1
1100,545.23,69.079,4.5882,28.756,28.612,1.0134,141.75,12.932,1.1153,1
1064.3,550.21,70.795,3.4971,21.174,27.079,1.0125,113.63,10.867,4.0952,1
1058,550.11,90.053,3.4641,19.878,21.787,1.0124,110.8,10.646,5.9536,1
1063.7,549.93,91.77,3.5534,20.897,22.266,1.0126,114.39,10.947,5.3257,1
1056.9,549.8,93.318,3.4439,19.641,20.149,1.0108,110.27,10.491,6.6131,1
1092.4,550.23,75.451,4.202,25.968,27.507,1.0102,133.79,12.185,1.9787,1
1092,550.02,79.971,4.1861,25.962,26.677,1.0105,133.79,12.162,2.2099,1
1091.3,549.67,82.007,4.1507,25.854,26.028,1.0107,133.78,12.14,2.4965,1
1069.8,549.97,88.627,3.7215,22,22.915,1.0093,119.25,11.119,4.525,1
1058.7,550.06,94.397,3.5065,20.136,22.59,1.0096,110.76,10.495,6.3915,1
1059,549.99,88.775,3.4505,20.36,24.703,1.0097,110.16,10.571,6.4021,1
1060,550.2,79.444,3.4734,20.471,26.573,1.0097,110.48,10.619,5.8993,1
1060.6,549.93,73.867,3.503,20.578,27.653,1.0097,110.7,10.676,5.1783,1
1060,549.91,68.944,3.496,20.474,28.68,1.0097,110.12,10.731,5.4196,1
1060.1,549.94,65.71,3.5158,20.514,29.441,1.0096,110.01,10.792,5.5899,1
1060.6,550,63.074,3.5285,20.587,30.008,1.009,109.92,10.74,4.15,1
1060,550.08,61.463,3.522,20.545,30.341,1.0087,109.81,10.708,5.1334,1
1060,550.16,61.13,3.5057,20.552,30.373,1.0084,109.85,10.733,5.5345,1
1059.8,550.13,62.574,3.4824,20.508,30.063,1.0082,109.85,10.758,5.5443,1
1064.2,549.77,65.996,3.5844,21.262,29.435,1.0083,113.33,10.959,5.3134,1
1057.6,550.15,74.804,3.3731,20.09,27.504,1.0085,108.99,10.605,6.9599,1
1074.6,549.98,80.494,3.7712,22.96,26.561,1.0086,121.57,11.417,5.1234,1
1057,549.92,92.619,3.4405,19.909,23.019,1.0076,109.92,10.508,7.4562,1
1056.5,550.02,92.805,3.4617,19.833,22.592,1.0078,109.82,10.495,7.3062,1
1057.1,550,93.729,3.4698,19.923,23.067,1.0079,109.82,10.515,6.7469,1
1057.4,549.98,91.151,3.4488,20.104,24.458,1.0078,109.5,10.518,6.2164,1
1058.8,549.99,77.823,3.4292,20.383,26.456,1.0075,109.81,10.527,5.6644,1
1058.5,549.93,69.779,3.4544,20.366,27.961,1.0074,109.19,10.496,5.7499,2
1060.7,550.01,63.551,3.5026,20.69,29.537,1.0073,110.1,10.604,5.4502,2
1060.4,549.88,63.355,3.5175,20.66,30.384,1.0072,109.83,10.648,5.7218,1
1060.7,549.91,64.512,3.5371,20.657,30.651,1.0068,109.85,10.663,5.5479,1
1060.8,550.03,62.45,3.5539,20.714,31.057,1.0066,109.84,10.682,4.3458,1
1061.2,550.02,57.566,3.5551,20.78,31.556,1.0066,109.84,10.708,3.8385,1
1061.2,550.07,56.173,3.5358,20.794,31.786,1.0065,109.84,10.694,4.1511,1
1060.8,549.97,56.808,3.5068,20.795,31.519,1.0066,109.84,10.679,4.4275,1
1060.8,549.85,57.923,3.4842,20.723,31.007,1.0069,109.84,10.666,5.1312,1
1075.6,549.88,58.342,3.8281,23.3,30.178,1.0071,120.84,11.398,3.1979,1
1092.1,549.81,74.713,4.1632,25.934,27.937,1.0074,133.82,12.177,1.4678,1
1091.7,549.71,84.069,4.1921,25.765,26.747,1.0075,133.81,12.116,2.3783,1
1091.7,550,88.323,4.2788,25.8,26.033,1.0077,133.86,12.055,2.2442,1
1089.2,550.29,90.516,4.2355,25.384,25.546,1.0075,132.33,11.984,2.6052,1
1089.7,549.94,92.441,4.2985,25.525,24.994,1.0074,132.95,12.107,1.7784,1
1089.8,550.32,94.104,4.2922,25.588,25.012,1.0074,132.95,12.111,1.819,1
1091.5,550.25,93.317,4.3187,25.953,25.123,1.0074,134.3,12.068,1.788,1
1084.3,550.31,92.97,4.1571,24.659,25.035,1.0073,128.98,11.714,2.76,1
1057.6,550.11,93.241,3.4974,20.082,24.914,1.0075,109.61,10.553,6.7673,1
1058.1,549.91,93.318,3.5419,20.275,24.795,1.0079,110.3,10.521,6.8288,1
1058.6,549.96,94.536,3.5461,20.305,24.885,1.0081,110.26,10.536,5.7033,1
1086.2,549.95,91.112,4.1797,25.074,26.569,1.0084,129.24,11.888,3.0954,2
1094,549.95,68.93,4.2748,26.554,30.584,1.0102,133.85,12.271,1.6925,2
1093.2,550.03,80.136,4.2154,26.05,28.143,1.0099,133.83,12.239,1.4689,2
1093.6,549.78,83.219,4.25,26.19,27.593,1.0101,134.79,12.26,1.3237,1
1093.1,549.67,85.355,4.2897,26.18,27.161,1.0101,134.82,12.244,1.3587,2
1091.5,549.71,87.916,4.2432,25.781,26.575,1.0098,133.88,12.162,1.7152,2
1092.6,549.96,91.211,4.336,25.967,25.911,1.0097,134.68,12.234,1.6383,2
1091.9,550.28,92.239,4.3188,25.826,25.482,1.0093,134.32,12.205,1.9017,2
1091.9,549.77,91.942,4.3171,25.933,25.597,1.0092,134.12,12.181,1.533,2
1078.3,549.84,90.438,3.9857,23.632,25.917,1.0092,124.26,11.525,2.9846,2
1058.7,550.05,91.847,3.5173,20.312,25.867,1.0091,110.28,10.633,4.8213,2
1058.8,549.98,93.164,3.53,20.274,25.66,1.0093,110.2,10.699,4.8611,2
1092.4,549.63,94.005,4.3892,26.123,26.035,1.0097,134.39,12.186,1.5307,2
1092,549.73,94.043,4.3649,26.122,26.413,1.01,133.78,12.103,1.1578,2
1093.8,549.87,92.165,4.4206,26.418,27.297,1.0102,134.44,12.211,1.4323,1
1097.6,545.31,88.83,4.694,28.349,28.067,1.0102,140.14,12.764,0.9075,1
1100.1,543.95,84.191,4.7591,29.287,28.9,1.0101,143.92,13.004,1.1749,2
1100,543.03,77.209,4.7853,29.574,29.692,1.0102,144.44,13.075,0.95821,2
1100.3,542.83,72.141,4.7893,29.66,30.697,1.0101,144.8,13.091,0.50502,2
1094.3,549.07,69.057,4.4101,26.759,31.159,1.0099,134.27,12.342,0.68985,2
1100.2,541.59,66.47,4.8496,29.974,31.534,1.0098,144.87,13.15,0.84215,2
1099.8,541.54,65.833,4.8563,30.01,31.777,1.0098,145.06,13.211,0.81381,2
1099.8,542.18,64.823,4.8242,29.742,31.769,1.0098,144.69,13.002,1.0033,2
1094.3,549.98,65.022,4.3101,26.48,31.783,1.0098,135.65,12.276,1.6052,2
1093.9,550.04,69.913,4.3029,26.391,31.145,1.0097,133.64,12.211,1.5064,2
1093.7,550.14,74.878,4.264,26.257,29.975,1.0098,133.84,12.221,1.4541,2
1093,549.92,80.143,4.2272,26.103,28.871,1.0101,133.83,12.228,1.393,2
1093.3,549.96,83.935,4.2395,26.137,28.124,1.0102,134.28,12.372,1.171,2
1093.1,549.98,87.205,4.2688,26.095,27.621,1.01,134.4,12.317,1.4695,2
1091.5,550.25,89.55,4.2935,25.886,27.378,1.0099,133.14,12.105,1.5133,2
1093.1,550,91.147,4.363,26.214,27.146,1.0096,134.49,12.303,1.4315,2
1093.8,549.7,91.579,4.3771,26.408,27.099,1.0096,134.89,12.296,1.4875,2
1092.7,550.19,90.954,4.3762,26.228,27.115,1.0093,134.22,12.209,1.0782,2
1093,550.4,91.039,4.3769,26.254,26.926,1.009,134.44,12.339,0.82356,2
1092.4,550.32,91.731,4.3657,26.112,26.402,1.0088,134.29,12.224,1.0016,2
1081.5,550.32,92.293,4.0802,24.202,25.909,1.0088,126.58,11.589,2.0832,2
1059,550.01,93.633,3.5953,20.411,25.526,1.0086,110.6,10.678,4.2829,2
1071,550.25,94.898,3.8741,22.486,25.883,1.0086,118.8,11.243,4.0008,2
1092.2,550.17,92.454,4.3579,26.203,27.001,1.0086,133.7,12.183,1.9582,2
1092.4,549.95,89.326,4.3699,26.3,27.77,1.0086,133.83,12.199,1.7483,2
1092.5,549.82,86.954,4.4085,26.241,28.825,1.0084,133.84,12.215,1.1183,2
1093,549.94,84.987,4.387,26.324,29.339,1.0083,133.84,12.23,0.62016,2
1093.6,550.03,78.975,4.37,26.443,30.682,1.008,133.85,12.247,0.57927,2
1094.8,548.88,74.224,4.4211,26.966,31.663,1.0077,134.79,12.406,1.1552,2
1100.1,542.45,72.665,4.7987,29.835,31.841,1.0073,144.55,13.086,0.96672,2
1100.1,542.15,71.172,4.8241,29.925,32.134,1.0069,144.44,13.085,0.64999,2
1093.7,549.97,72.769,4.3465,26.46,31.876,1.0066,133.02,12.219,1.2812,2
1093.5,549.95,72.598,4.3576,26.431,31.424,1.0064,132.86,12.205,1.3236,2
1093.3,550.04,71.227,4.3389,26.387,31.329,1.0062,132.87,12.202,1.5359,2
1092.6,549.96,72.258,4.2854,26.225,30.775,1.0064,132.84,12.197,1.8645,2
1092,549.79,79.39,4.2316,25.993,29.353,1.0067,132.84,12.174,1.801,2
1091.5,549.63,85.643,4.2393,25.9,28.391,1.0068,132.83,12.15,1.5083,2
1091.3,549.59,88.217,4.2583,25.906,27.882,1.0068,132.82,12.126,1.3009,2
1090.9,550,88.666,4.2416,25.923,27.57,1.0067,132.8,12.144,1.112,2
1090.6,550.18,89.304,4.2627,25.858,27.26,1.0066,132.77,12.154,1.1666,2
1092.5,550.09,90.9,4.3542,26.114,26.734,1.0064,134.42,12.214,1.3753,2
1092.2,550.22,93.12,4.4331,26.105,26.135,1.0062,134.43,12.165,1.3765,2
1092.4,550.36,94.547,4.4812,26.177,25.836,1.0059,134.62,12.265,1.5204,2
1091,550.2,95.357,4.4704,25.926,25.517,1.0058,133.81,12.13,1.7452,2
1090.6,549.77,95.898,4.4615,25.902,25.296,1.0058,133.77,12.11,1.4257,2
1091,550.12,95.908,4.507,25.812,25.181,1.0059,133.78,12.057,1.3817,2
1091.1,550.18,97.172,4.4848,25.884,25.839,1.0059,133.52,12.068,1.5783,2
1092.5,549.5,91.342,4.4097,26.318,27.209,1.006,133.91,12.267,1.5411,1
1099.8,540.13,85.268,4.9162,30.471,28.243,1.0062,145.99,13.166,0.56605,2
1098.4,545.98,79.564,4.6089,28.469,29.451,1.0062,140.32,12.732,0.81548,2
1100.1,545.07,69.661,4.6882,29.05,32.067,1.0059,143.43,12.911,0.19785,2
1100.2,545.35,67.727,4.6746,28.965,32.714,1.0057,143.55,12.908,0.46228,2
1099.7,545.11,65.795,4.6814,29.125,33.041,1.0055,143.86,13.026,0.91035,2
1100,544.1,66.428,4.7064,29.287,33.038,1.0051,144.23,12.923,1.029,2
1100.1,544.51,66.69,4.7027,29.26,32.715,1.0048,144.06,12.966,0.88193,2
1099.9,544.14,65.593,4.7358,29.422,32.316,1.0046,144.27,12.949,0.84615,2
1095.5,546.39,66.572,4.4864,27.836,31.737,1.0046,139.77,12.633,1.0237,2
1092,550.39,72.263,4.2142,26.112,30.628,1.0047,134.86,12.122,1.2237,2
1093.3,550.29,79.372,4.248,26.402,29.504,1.005,134.67,12.138,1.1084,2
